"id","country","gender","uid","dt","device","spent"
"1000039","GBR","F","1000039","2023-02-04","A","36.65"
"1000045","USA","F","1000045","2023-01-30","I","51.58"
"1000071","USA","F","1000071","2023-02-02","I","6.71"
"1000101","MEX","F","1000101","2023-02-05","A","5.67"
"1000101","MEX","F","1000101","2023-02-02","A","5.67"
"1000141","BRA","M","1000141","2023-01-25","A","11.49"
"1000160","USA","F","1000160","2023-01-29","A","35.34"
"1000162","BRA","M","1000162","2023-01-27","A","52.92"
"1000185","MEX","F","1000185","2023-02-06","I","53.07"
"1000200","USA","F","1000200","2023-01-26","I","166.32"
"1000237","USA","M","1000237","2023-01-29","I","13.17"
"1000253","DEU","M","1000253","2023-02-06","A","40.32"
"1000261","TUR","F","1000261","2023-01-25","A","205.98"
"1000269","USA","M","1000269","2023-01-25","A","116.29"
"1000417","DEU","F","1000417","2023-02-04","A","45.06"
"1000436","TUR","F","1000436","2023-01-29","A","25.55"
"1000454","USA","M","1000454","2023-02-03","I","39.09"
"1000510","MEX","M","1000510","2023-02-02","A","16.92"
"1000523","BRA","F","1000523","2023-02-04","A","89.64"
"1000546","FRA","F","1000546","2023-01-29","A","61.12"
"1000579","BRA","M","1000579","2023-02-04","A","117.79"
"1000601","USA","F","1000601","2023-01-25","A","10.79"
"1000623","USA","F","1000623","2023-01-27","A","61.29"
"1000635","ESP","F","1000635","2023-01-25","I","69.21"
"1000653","USA","M","1000653","2023-02-06","I","61.84"
"1000669","BRA","M","1000669","2023-01-29","I","176.83"
"1000675","USA","M","1000675","2023-01-25","A","68.34"
"1000857","USA","F","1000857","2023-01-28","I","8.33"
"1000863","ESP","M","1000863","2023-01-30","I","45.91"
"1000883","USA","M","1000883","2023-01-26","A","65.1"
"1000908","GBR","F","1000908","2023-01-26","I","78.7"
"1000930","DEU","F","1000930","2023-01-27","A","114.56"
"1000937","GBR","F","1000937","2023-01-27","no info","122.28"
"1000938","BRA","M","1000938","2023-01-27","I","48.48"
"1000945","ESP","M","1000945","2023-02-01","I","41.06"
"1001037","USA","F","1001037","2023-01-31","I","879.0999999999999"
"1001039","DEU","F","1001039","2023-02-06","I","31.45"
"1001052","CAN","F","1001052","2023-01-25","I","47.86"
"1001090","USA","F","1001090","2023-01-27","I","84.51"
"1001091","CAN","M","1001091","2023-01-28","I","47.78"
"1001137","USA","M","1001137","2023-01-27","I","101.75"
"1001155","USA","F","1001155","2023-02-04","A","58.76"
"1001185","FRA","M","1001185","2023-02-02","A","2.6266703748025315"
"1001185","FRA","M","1001185","2023-01-28","A","14.56"
"1001200","AUS","F","1001200","2023-01-27","A","24.47"
"1001248","BRA","M","1001248","2023-01-25","I","48.6"
"1001298","TUR","M","1001298","2023-01-28","I","75.93"
"1001424","FRA","F","1001424","2023-01-29","A","69.73"
"1001425","USA","M","1001425","2023-01-25","A","309.8"
"1001461","BRA","F","1001461","2023-01-29","I","50.02"
"1001477","USA","M","1001477","2023-01-25","I","106.65"
"1001493","BRA","F","1001493","2023-01-26","I","16.78"
"1001500","USA","F","1001500","2023-02-05","I","31.896301175435678"
"1001500","USA","F","1001500","2023-01-31","I","42.32"
"1001501","BRA","F","1001501","2023-02-06","A","126.67"
"1001541","USA","M","1001541","2023-01-28","A","79.98"
"1001591","USA","F","1001591","2023-01-26","A","76.73"
"1001606","GBR","M","1001606","2023-01-27","I","18.63"
"1001656","FRA","F","1001656","2023-01-26","A","42.08"
"1001682","BRA","M","1001682","2023-01-28","I","23.51"
